block_lot,norm_address...2,norm_city,norm_state,lat,long,norm_address...7,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode,country,country_code,boundingbox,residential,neighbourhood,highway,man_made,building,shop,amenity,office,craft,leisure,town,railway
303_10,177 NELSON AVE,JERSEY CITY,NJ,40.757996,-74.049349,"177, Nelson Avenue, Jersey City, Hudson County, New Jersey, 07307, United States",314250155,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,582639649,40.757996,-74.049349,177,Nelson Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4307_9,63 BEACH ST,JERSEY CITY,NJ,40.74420733333333,-74.057295,"63, Beach Street, Jersey City, Croxton, Jersey City, Hudson County, New Jersey, 07307, United States",314251017,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,275580955,40.74420733333333,-74.057295,63,Beach Street,Croxton,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2703_11,199 BOWERS ST,JERSEY CITY,NJ,40.74847358823529,-74.0517955882353,"199, Bowers Street, Jersey City, Hudson County, New Jersey, 07307, United States",314247855,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11633458,40.74847358823529,-74.0517955882353,199,Bowers Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13504_14,533535 MERCER ST,JERSEY CITY,NJ,40.725467,-74.064843,"518, Mercer Street, Bergen, Jersey City, Hudson County, New Jersey, 07306, United States",200105364,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,411535869,40.725745149999995,-74.06480531260509,518,Mercer Street,Bergen,Jersey City,Hudson County,New Jersey,US-NJ,07306,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2603_40,120 CHARLES ST,JERSEY CITY,NJ,40.74984275,-74.0527005,"120, Charles Street, Jersey City, Hudson County, New Jersey, 07307, United States",314249578,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11633229,40.74984275,-74.0527005,120,Charles Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17906_14,65 BRINKERHOFF ST,JERSEY CITY,NJ,40.718815500000005,-74.0730795,"65, Brinkerhoff Street, Jersey City, Hudson County, New Jersey, 07304, United States",314254670,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,572044673,40.718815500000005,-74.0730795,65,Brinkerhoff Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07304,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4505_35,129 NEW YORK AVE,JERSEY CITY,NJ,40.74083975,-74.047488,"129, New York Avenue, Jersey City, Hudson County, New Jersey, 07307, United States",314248019,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,582639652,40.74083975,-74.047488,129,New York Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10901_106,461469 NEWARK AVE,JERSEY CITY,NJ,40.7349128,-74.059413,"Jersey City Public Library, Five Corners Branch, 678, Newark Avenue, Indian Square, Croxton, Jersey City, Hudson County, New Jersey, 07306, United States",200066725,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,409876647,40.7352506,-74.05954532055131,678,Newark Avenue,Croxton,Jersey City,Hudson County,New Jersey,US-NJ,07306,United States,us,,NA,Indian Square,NA,NA,NA,NA,"Jersey City Public Library, Five Corners Branch",NA,NA,NA,NA,NA
11902_23,14 HOLMES AVE,JERSEY CITY,NJ,40.732607375,-74.076554125,"14, Holmes Avenue, Marion, Jersey City, Hudson County, New Jersey, 07306, United States",314258066,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11630813,40.732607375,-74.076554125,14,Holmes Avenue,Marion,Jersey City,Hudson County,New Jersey,US-NJ,07306,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29101_11,243 CUSTER AVE,JERSEY CITY,NJ,40.69472542857143,-74.10053007142858,"243, Custer Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States",314250230,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,957847481,40.69472542857143,-74.10053007142858,243,Custer Avenue,Greenville,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21509_3,33 PACIFIC AVE,JERSEY CITY,NJ,40.705521204081634,-74.07107681632652,"33, Pacific Avenue, Jersey City, Hudson County, New Jersey, 07304, United States",314254856,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,579670577,40.705521204081634,-74.07107681632652,33,Pacific Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07304,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1504_24,13 GRAHAM ST,JERSEY CITY,NJ,40.751729,-74.04620355555555,"13, Graham Street, Jersey City, Hudson County, New Jersey, 07307, United States",314251463,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632068,40.751729,-74.04620355555555,13,Graham Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
