block_lot,postcode,lat,long
5706_11,07306,40.7381399992432,-74.05384926156917
8304_32,07306,40.73247471428572,-74.05209785714285
20801_48,07305,40.71290696456059,-74.08106315942368
1203_51,07307,40.75429943243243,-74.05297227027027
2703_6,07307,40.74863447058824,-74.05220147058824
23203_45,07305,40.70624152083333,-74.07884402083333
23203_44,07305,40.70619541666667,-74.07877341666666
15004_40,07306,40.72436208333333,-74.0681555625
13501_10,07306,40.7250863,-74.06364433412372
30104_4,07305,40.697748,-74.100804
18402_6,07304,40.71763144444444,-74.07754166666666
10203_63,07306,40.734927285714285,-74.07578671428571
16101_45,07306,40.726887,-74.07910733333334
16302_25,07306,40.72550185858586,-74.0754122828283
3803_11,07307,40.7442415,-74.0473115
1602_48,07307,40.75071733134328,-74.04520810149253
4404_33,07307,40.74333275,-74.0500485
8202_2,07306,40.73299618181818,-74.05673627272726
603_39,07307,40.757272785714285,-74.05105814285714
2504_31,07307,40.748758,-74.0578563
1405_19,07307,40.75195073333333,-74.05017193333335
603_38,07307,40.75733047619048,-74.05102157142858
2205_36,07307,40.74710789655172,-74.04546296551725
4504_31,07087,40.74031255555556,-74.046781
801_7,07087,40.75485428571429,-74.046461
2302_5,07307,40.74883861904762,-74.04430742857143
8502_25,07302,40.72802239552239,-74.04862824626865
7808_12,07306,40.73658025,-74.064930875
3601_5,07307,40.74734777142857,-74.05520068571428
13303_16,07306,40.72735965,-74.06828805657996
12106_13,07306,40.730215900000005,-74.06667774532335
17504_26,07304,40.71260359337395,-74.05663205434816
19302_66,07304,40.7187288,-74.0822468
2306_14,07307,40.747018,-74.04430607142857
2501_9,07307,40.7492314516129,-74.05943312903226
1402_57,07307,40.753303,-74.050341
302_20,07307,40.758014,-74.050582
4603_30,07306,40.743021354166665,-74.06018491666667
21302_6,07304,40.7127276,-74.074285
1505_52,07307,40.752386,-74.04744262962963
17205_3,07304,40.716469,-74.064484
5803_10,07306,40.73721463636364,-74.05003027272727
703_19,07307,40.755021733333336,-74.0484014
11403_25,07302,40.72111305,-74.04374525
12003_19,07306,40.73068385185185,-74.07054696296296
10803_2,07306,40.72899497959183,-74.06127826530613
10803_3,07306,40.72943825,-74.06102630000001
10803_4,07306,40.729343400000005,-74.06109599999999
603_51,07307,40.75623435714286,-74.05171642857144
19002_1,07304,40.71328428571429,-74.05825128571429
22502_1,07305,40.71213003030303,-74.08099987878788
2501_16,07307,40.75010828571428,-74.05838271428571
1402_11,07307,40.75296339130435,-74.04934291304347
601_16,07307,40.756342060019584,-74.05376124241937
22401_10,07305,40.710517714285714,-74.08367585714285
2804_34,07307,40.74818992307692,-74.04852584615385
803_26,07307,40.7531432,-74.044568
25602_13,07305,40.703425058823534,-74.08679917647059
23502_34,07305,40.70591744444444,-74.0800411111111
